Gene	Gene description	Evidence
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	Evidence at protein level
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	Evidence at protein level
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	Evidence at protein level
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	Evidence at protein level
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	Evidence at protein level
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	Evidence at protein level
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	Evidence at protein level
ADAMTSL2	ADAMTS like 2	Evidence at protein level
ADAMTSL4	ADAMTS like 4	Evidence at protein level
ADAMTSL5	ADAMTS like 5	Evidence at protein level
ADAP1	ArfGAP with dual PH domains 1	Evidence at protein level
ADAT2	Adenosine deaminase tRNA specific 2	Evidence at protein level
ADAT3	Adenosine deaminase tRNA specific 3	Evidence at transcript level
ADCK5	AarF domain containing kinase 5	Evidence at protein level
ADCY1	Adenylate cyclase 1	Evidence at protein level
ADCY2	Adenylate cyclase 2	Evidence at protein level
ADCY4	Adenylate cyclase 4	Evidence at protein level
ADCY5	Adenylate cyclase 5	Evidence at protein level
ADCY7	Adenylate cyclase 7	Evidence at protein level
ADCYAP1	Adenylate cyclase activating polypeptide 1	Evidence at protein level
ADCYAP1R1	ADCYAP receptor type I	Evidence at protein level
ADD2	Adducin 2	Evidence at protein level
ADGRB1	Adhesion G protein-coupled receptor B1	Evidence at protein level
ADGRB2	Adhesion G protein-coupled receptor B2	Evidence at protein level
ADGRB3	Adhesion G protein-coupled receptor B3	Evidence at protein level
ADGRD1	Adhesion G protein-coupled receptor D1	Evidence at protein level
ADGRE2	Adhesion G protein-coupled receptor E2	Evidence at protein level
ADGRE5	Adhesion G protein-coupled receptor E5	Evidence at protein level
ADGRF5	Adhesion G protein-coupled receptor F5	Evidence at protein level
ADGRG6	Adhesion G protein-coupled receptor G6	Evidence at protein level
ADGRL1	Adhesion G protein-coupled receptor L1	Evidence at protein level
ADGRL2	Adhesion G protein-coupled receptor L2	Evidence at protein level
ADGRL3	Adhesion G protein-coupled receptor L3	Evidence at protein level
ADGRL4	Adhesion G protein-coupled receptor L4	Evidence at protein level
ADGRV1	Adhesion G protein-coupled receptor V1	Evidence at protein level
ADH1B	"Alcohol dehydrogenase 1B (class I), beta polypeptide"	Evidence at protein level
ADHFE1	Alcohol dehydrogenase iron containing 1	Evidence at protein level
ADM5	Adrenomedullin 5 (putative)	Evidence at transcript level
ADORA1	Adenosine A1 receptor	Evidence at protein level
ADORA2A	Adenosine A2a receptor	Evidence at protein level
ADORA2B	Adenosine A2b receptor	Evidence at protein level
ADORA3	Adenosine A3 receptor	Evidence at protein level
ADPRHL1	ADP-ribosylhydrolase like 1	Evidence at protein level
ADRA1A	Adrenoceptor alpha 1A	Evidence at protein level
ADRA1B	Adrenoceptor alpha 1B	Evidence at protein level
ADRA1D	Adrenoceptor alpha 1D	Evidence at protein level
ADRA2A	Adrenoceptor alpha 2A	Evidence at protein level
ADRA2B	Adrenoceptor alpha 2B	Evidence at protein level
ADRA2C	Adrenoceptor alpha 2C	Evidence at protein level
ADRB1	Adrenoceptor beta 1	Evidence at protein level
ADRB2	Adrenoceptor beta 2	Evidence at protein level
ADSS1	Adenylosuccinate synthase 1	Evidence at protein level
ADTRP	Androgen dependent TFPI regulating protein	Evidence at protein level
AEN	Apoptosis enhancing nuclease	Evidence at protein level
AFAP1	Actin filament associated protein 1	Evidence at protein level
AFAP1L1	Actin filament associated protein 1 like 1	Evidence at protein level
AFAP1L2	Actin filament associated protein 1 like 2	Evidence at protein level
AFF2	ALF transcription elongation factor 2	Evidence at protein level
AFF3	ALF transcription elongation factor 3	Evidence at protein level
AGAP1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"	Evidence at protein level
AGAP2	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"	Evidence at protein level
AGAP6	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"	Evidence at transcript level
AGBL2	AGBL carboxypeptidase 2	Evidence at protein level
AGER	Advanced glycosylation end-product specific receptor	Evidence at protein level
AGMAT	Agmatinase	Evidence at protein level
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	Evidence at protein level
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	Evidence at protein level
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	Evidence at protein level
AGR2	"Anterior gradient 2, protein disulphide isomerase family member"	Evidence at protein level
AGRN	Agrin	Evidence at protein level
AGT	Angiotensinogen	Evidence at protein level
AGTR1	Angiotensin II receptor type 1	Evidence at protein level
AHNAK2	AHNAK nucleoprotein 2	Evidence at protein level
AHRR	Aryl hydrocarbon receptor repressor	Evidence at protein level
AHSP	Alpha hemoglobin stabilizing protein	Evidence at protein level
AJM1	Apical junction component 1 homolog	Evidence at protein level
AJUBA	Ajuba LIM protein	Evidence at protein level
AK5	Adenylate kinase 5	Evidence at protein level
AK7	Adenylate kinase 7	Evidence at protein level
AK8	Adenylate kinase 8	Evidence at protein level
AKAP6	A-kinase anchoring protein 6	Evidence at protein level
AKAP8	A-kinase anchoring protein 8	Evidence at protein level
AKR1C1	Aldo-keto reductase family 1 member C1	Evidence at protein level
AKR1C2	Aldo-keto reductase family 1 member C2	Evidence at protein level
AKR7A3	Aldo-keto reductase family 7 member A3	Evidence at protein level
ALAS2	5'-aminolevulinate synthase 2	Evidence at protein level
ALB	Albumin	Evidence at protein level
ALCAM	Activated leukocyte cell adhesion molecule	Evidence at protein level
ALDH16A1	Aldehyde dehydrogenase 16 family member A1	Evidence at protein level
ALDH1A1	Aldehyde dehydrogenase 1 family member A1	Evidence at protein level
ALDH1A2	Aldehyde dehydrogenase 1 family member A2	Evidence at protein level
ALDH1A3	Aldehyde dehydrogenase 1 family member A3	Evidence at protein level
ALDH1L1	Aldehyde dehydrogenase 1 family member L1	Evidence at protein level
ALDH1L2	Aldehyde dehydrogenase 1 family member L2	Evidence at protein level
ALDH3A1	Aldehyde dehydrogenase 3 family member A1	Evidence at protein level
ALDH3B1	Aldehyde dehydrogenase 3 family member B1	Evidence at protein level
ALDH8A1	Aldehyde dehydrogenase 8 family member A1	Evidence at protein level
ALDOB	"Aldolase, fructose-bisphosphate B"	Evidence at protein level
ALG10	"ALG10 alpha-1,2-glucosyltransferase"	Evidence at protein level
ALG10B	"ALG10 alpha-1,2-glucosyltransferase B"	Evidence at protein level
ALG14	ALG14 UDP-N-acetylglucosaminyltransferase subunit	Evidence at protein level
ALG6	"ALG6 alpha-1,3-glucosyltransferase"	Evidence at protein level
ALKAL2	ALK and LTK ligand 2	Evidence at protein level
ALMS1	ALMS1 centrosome and basal body associated protein	Evidence at protein level
ALOX12	"Arachidonate 12-lipoxygenase, 12S type"	Evidence at protein level
ALOX15	Arachidonate 15-lipoxygenase	Evidence at protein level
ALOX15B	Arachidonate 15-lipoxygenase type B	Evidence at protein level
ALOX5	Arachidonate 5-lipoxygenase	Evidence at protein level
ALPK3	Alpha kinase 3	Evidence at protein level
ALS2CL	ALS2 C-terminal like	Evidence at protein level
ALX3	ALX homeobox 3	Evidence at protein level
AMDHD1	Amidohydrolase domain containing 1	Evidence at protein level
AMDHD2	Amidohydrolase domain containing 2	Evidence at protein level
AMER1	APC membrane recruitment protein 1	Evidence at protein level
AMIGO1	Adhesion molecule with Ig like domain 1	Evidence at protein level
AMIGO2	Adhesion molecule with Ig like domain 2	Evidence at protein level
AMOT	Angiomotin	Evidence at protein level
AMOTL2	Angiomotin like 2	Evidence at protein level
AMPH	Amphiphysin	Evidence at protein level
AMY2A	Amylase alpha 2A	Evidence at protein level
ANGPT1	Angiopoietin 1	Evidence at protein level
ANGPT2	Angiopoietin 2	Evidence at protein level
ANGPTL1	Angiopoietin like 1	Evidence at protein level
ANGPTL2	Angiopoietin like 2	Evidence at protein level
ANGPTL4	Angiopoietin like 4	Evidence at protein level
ANGPTL7	Angiopoietin like 7	Evidence at protein level
ANGPTL8	Angiopoietin like 8	Evidence at protein level
ANK1	Ankyrin 1	Evidence at protein level
ANK2	Ankyrin 2	Evidence at protein level
ANKDD1A	Ankyrin repeat and death domain containing 1A	Evidence at protein level
ANKEF1	Ankyrin repeat and EF-hand domain containing 1	Evidence at protein level
ANKRD13B	Ankyrin repeat domain 13B	Evidence at protein level
ANKRD13D	Ankyrin repeat domain 13D	Evidence at protein level
ANKRD22	Ankyrin repeat domain 22	Evidence at protein level
ANKRD23	Ankyrin repeat domain 23	Evidence at protein level
ANKRD24	Ankyrin repeat domain 24	Evidence at protein level
ANKRD29	Ankyrin repeat domain 29	Evidence at protein level
ANKRD33B	Ankyrin repeat domain 33B	Evidence at protein level
ANKRD34A	Ankyrin repeat domain 34A	Evidence at protein level
ANKRD35	Ankyrin repeat domain 35	Evidence at protein level
ANKRD36	Ankyrin repeat domain 36	Evidence at protein level
ANKRD36B	Ankyrin repeat domain 36B	Evidence at protein level
ANKRD36C	Ankyrin repeat domain 36C	Evidence at protein level
ANKRD45	Ankyrin repeat domain 45	Evidence at protein level
ANKRD53	Ankyrin repeat domain 53	Evidence at protein level
ANKRD65	Ankyrin repeat domain 65	Evidence at protein level
ANKS1B	Ankyrin repeat and sterile alpha motif domain containing 1B	Evidence at protein level
ANLN	"Anillin, actin binding protein"	Evidence at protein level
ANO1	Anoctamin 1	Evidence at protein level
ANO5	Anoctamin 5	Evidence at protein level
ANOS1	Anosmin 1	Evidence at protein level
ANPEP	"Alanyl aminopeptidase, membrane"	Evidence at protein level
ANTKMT	Adenine nucleotide translocase lysine methyltransferase	Evidence at protein level
ANTXR1	ANTXR cell adhesion molecule 1	Evidence at protein level
ANXA13	Annexin A13	Evidence at protein level
ANXA2R	Annexin A2 receptor	Evidence at protein level
ANXA9	Annexin A9	Evidence at protein level
AOAH	Acyloxyacyl hydrolase	Evidence at protein level
AOC2	Amine oxidase copper containing 2	Evidence at protein level
AP1M2	Adaptor related protein complex 1 subunit mu 2	Evidence at protein level
AP1S3	Adaptor related protein complex 1 subunit sigma 3	Evidence at protein level
AP2A2	Adaptor related protein complex 2 subunit alpha 2	Evidence at protein level
AP3B2	Adaptor related protein complex 3 subunit beta 2	Evidence at protein level
AP5Z1	Adaptor related protein complex 5 subunit zeta 1	Evidence at protein level
APBA1	Amyloid beta precursor protein binding family A member 1	Evidence at protein level
APBA2	Amyloid beta precursor protein binding family A member 2	Evidence at protein level
APBA3	Amyloid beta precursor protein binding family A member 3	Evidence at protein level
APBB1IP	Amyloid beta precursor protein binding family B member 1 interacting protein	Evidence at protein level
APBB3	Amyloid beta precursor protein binding family B member 3	Evidence at protein level
APCDD1	APC down-regulated 1	Evidence at protein level
APLN	Apelin	Evidence at protein level
APLNR	Apelin receptor	Evidence at protein level
APLP1	Amyloid beta precursor like protein 1	Evidence at protein level
APOA1	Apolipoprotein A1	Evidence at protein level
APOA2	Apolipoprotein A2	Evidence at protein level
APOBEC3F	Apolipoprotein B mRNA editing enzyme catalytic subunit 3F	Evidence at protein level
APOBR	Apolipoprotein B receptor	Evidence at protein level
APOC2	Apolipoprotein C2	Evidence at protein level
APOC3	Apolipoprotein C3	Evidence at protein level
APOD	Apolipoprotein D	Evidence at protein level
APOL1	Apolipoprotein L1	Evidence at protein level
APOL4	Apolipoprotein L4	Evidence at protein level
APOLD1	Apolipoprotein L domain containing 1	Evidence at protein level
APOM	Apolipoprotein M	Evidence at protein level
APOOL	Apolipoprotein O like	Evidence at protein level
AQP1	Aquaporin 1 (Colton blood group)	Evidence at protein level
AQP11	Aquaporin 11	Evidence at protein level
AQP4	Aquaporin 4	Evidence at protein level
AQP5	Aquaporin 5	Evidence at protein level
AQP7	Aquaporin 7	Evidence at protein level
AQP9	Aquaporin 9	Evidence at protein level
AR	Androgen receptor	Evidence at protein level
ARAP2	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"	Evidence at protein level
ARC	Activity regulated cytoskeleton associated protein	Evidence at protein level
ARFGEF3	ARFGEF family member 3	Evidence at protein level
ARG2	Arginase 2	Evidence at protein level
ARHGAP11A	Rho GTPase activating protein 11A	Evidence at protein level
ARHGAP19	Rho GTPase activating protein 19	Evidence at protein level
ARHGAP20	Rho GTPase activating protein 20	Evidence at protein level
ARHGAP22	Rho GTPase activating protein 22	Evidence at protein level
ARHGAP25	Rho GTPase activating protein 25	Evidence at protein level
ARHGAP27	Rho GTPase activating protein 27	Evidence at protein level
ARHGAP29	Rho GTPase activating protein 29	Evidence at protein level
ARHGAP30	Rho GTPase activating protein 30	Evidence at protein level
ARHGAP31	Rho GTPase activating protein 31	Evidence at protein level
ARHGAP39	Rho GTPase activating protein 39	Evidence at protein level
ARHGAP44	Rho GTPase activating protein 44	Evidence at protein level
ARHGAP45	Rho GTPase activating protein 45	Evidence at protein level
ARHGAP6	Rho GTPase activating protein 6	Evidence at protein level
ARHGAP9	Rho GTPase activating protein 9	Evidence at protein level
ARHGDIG	Rho GDP dissociation inhibitor gamma	Evidence at protein level
ARHGEF10	Rho guanine nucleotide exchange factor 10	Evidence at protein level
ARHGEF15	Rho guanine nucleotide exchange factor 15	Evidence at protein level
ARHGEF16	Rho guanine nucleotide exchange factor 16	Evidence at protein level
ARHGEF19	Rho guanine nucleotide exchange factor 19	Evidence at protein level
ARHGEF25	Rho guanine nucleotide exchange factor 25	Evidence at protein level
ARHGEF26	Rho guanine nucleotide exchange factor 26	Evidence at protein level
ARHGEF28	Rho guanine nucleotide exchange factor 28	Evidence at protein level
ARHGEF33	Rho guanine nucleotide exchange factor 33	Evidence at protein level
ARHGEF39	Rho guanine nucleotide exchange factor 39	Evidence at protein level
ARHGEF4	Rho guanine nucleotide exchange factor 4	Evidence at protein level
ARHGEF5	Rho guanine nucleotide exchange factor 5	Evidence at protein level
ARID3A	AT-rich interaction domain 3A	Evidence at protein level
ARL13B	ADP ribosylation factor like GTPase 13B	Evidence at protein level
ARL17B	ADP ribosylation factor like GTPase 17B	Evidence at protein level
ARL4D	ADP ribosylation factor like GTPase 4D	Evidence at protein level
ARL6	ADP ribosylation factor like GTPase 6	Evidence at protein level
ARL8B	ADP ribosylation factor like GTPase 8B	Evidence at protein level
ARL9	ADP ribosylation factor like GTPase 9	Evidence at protein level
ARMC12	Armadillo repeat containing 12	Evidence at protein level
ARMC5	Armadillo repeat containing 5	Evidence at protein level
ARMC9	Armadillo repeat containing 9	Evidence at protein level
ARMCX2	Armadillo repeat containing X-linked 2	Evidence at protein level
ARMCX4	Armadillo repeat containing X-linked 4	Evidence at protein level
ARMH1	Armadillo like helical domain containing 1	Evidence at protein level
ARMH4	Armadillo like helical domain containing 4	Evidence at protein level
ARNT2	Aryl hydrocarbon receptor nuclear translocator 2	Evidence at protein level
ARPC1B	Actin related protein 2/3 complex subunit 1B	Evidence at protein level
ARPC4-TTLL3	ARPC4-TTLL3 readthrough	Evidence at transcript level
ARPIN	Actin related protein 2/3 complex inhibitor	Evidence at protein level
ARPP21	CAMP regulated phosphoprotein 21	Evidence at protein level
ARSI	Arylsulfatase family member I	Evidence at protein level
ARSJ	Arylsulfatase family member J	Evidence at protein level
ARSL	Arylsulfatase L	Evidence at protein level
ART3	ADP-ribosyltransferase 3 (inactive)	Evidence at protein level
ARTN	Artemin	Evidence at protein level
ARVCF	ARVCF delta catenin family member	Evidence at protein level
AS3MT	Arsenite methyltransferase	Evidence at protein level
ASAP2	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	Evidence at protein level
ASAP3	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"	Evidence at protein level
ASB16	Ankyrin repeat and SOCS box containing 16	Evidence at protein level
ASB2	Ankyrin repeat and SOCS box containing 2	Evidence at protein level
ASB5	Ankyrin repeat and SOCS box containing 5	Evidence at protein level
ASDURF	ASNSD1 upstream open reading frame	Evidence at protein level
ASGR1	Asialoglycoprotein receptor 1	Evidence at protein level
ASIC1	Acid sensing ion channel subunit 1	Evidence at protein level
ASIC3	Acid sensing ion channel subunit 3	Evidence at protein level
ASPA	Aspartoacylase	Evidence at protein level
ASPDH	Aspartate dehydrogenase domain containing	Evidence at protein level
ASPHD1	Aspartate beta-hydroxylase domain containing 1	Evidence at protein level
ASPHD2	Aspartate beta-hydroxylase domain containing 2	Evidence at protein level
ASPN	Asporin	Evidence at protein level
ASPRV1	Aspartic peptidase retroviral like 1	Evidence at protein level
ASS1	Argininosuccinate synthase 1	Evidence at protein level
ATAD3B	ATPase family AAA domain containing 3B	Evidence at protein level
ATAD3C	ATPase family AAA domain containing 3C	Evidence at protein level
ATAD5	ATPase family AAA domain containing 5	Evidence at protein level
ATAT1	Alpha tubulin acetyltransferase 1	Evidence at protein level
ATF7IP2	Activating transcription factor 7 interacting protein 2	Evidence at protein level
ATL1	Atlastin GTPase 1	Evidence at protein level
ATOH8	Atonal bHLH transcription factor 8	Evidence at protein level
ATP10A	ATPase phospholipid transporting 10A (putative)	Evidence at protein level
ATP10B	ATPase phospholipid transporting 10B (putative)	Evidence at protein level
ATP13A4	ATPase 13A4	Evidence at protein level
ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	Evidence at protein level
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	Evidence at protein level
ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	Evidence at protein level
ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	Evidence at protein level
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	Evidence at protein level
ATP2B2	ATPase plasma membrane Ca2+ transporting 2	Evidence at protein level
ATP2C2	ATPase secretory pathway Ca2+ transporting 2	Evidence at protein level
ATP5MF-PTCD1	ATP5MF-PTCD1 readthrough	Evidence at protein level
ATP6V1B1	ATPase H+ transporting V1 subunit B1	Evidence at protein level
ATP6V1C2	ATPase H+ transporting V1 subunit C2	Evidence at protein level
ATP6V1E2	ATPase H+ transporting V1 subunit E2	Evidence at protein level
ATP6V1G2	ATPase H+ transporting V1 subunit G2	Evidence at protein level
ATP7B	ATPase copper transporting beta	Evidence at protein level
ATP8B1	ATPase phospholipid transporting 8B1	Evidence at protein level
ATR	ATR serine/threonine kinase	Evidence at protein level
ATRNL1	Attractin like 1	Evidence at protein level
ATXN7L2	Ataxin 7 like 2	Evidence at protein level
AURKA	Aurora kinase A	Evidence at protein level
AURKC	Aurora kinase C	Evidence at protein level
AVIL	Advillin	Evidence at protein level
AVPR2	Arginine vasopressin receptor 2	Evidence at protein level
AXIN2	Axin 2	Evidence at protein level
AZGP1	"Alpha-2-glycoprotein 1, zinc-binding"	Evidence at protein level
AZIN2	Antizyme inhibitor 2	Evidence at protein level
B3GALT2	"Beta-1,3-galactosyltransferase 2"	Evidence at protein level
B3GALT4	"Beta-1,3-galactosyltransferase 4"	Evidence at protein level
B3GALT5	"Beta-1,3-galactosyltransferase 5"	Evidence at protein level
B3GALT9	"Beta-1,3-galactosyltransferase 9"	Evidence at protein level
B3GAT1	"Beta-1,3-glucuronyltransferase 1"	Evidence at protein level
B3GAT2	"Beta-1,3-glucuronyltransferase 2"	Evidence at protein level
B3GNT7	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"	Evidence at protein level
B3GNT9	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"	Evidence at protein level
B3GNTL1	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1"	Evidence at protein level
B4GALNT1	"Beta-1,4-N-acetyl-galactosaminyltransferase 1"	Evidence at protein level
B4GALNT2	"Beta-1,4-N-acetyl-galactosaminyltransferase 2"	Evidence at protein level
B4GALNT3	"Beta-1,4-N-acetyl-galactosaminyltransferase 3"	Evidence at protein level
B4GALNT4	"Beta-1,4-N-acetyl-galactosaminyltransferase 4"	Evidence at protein level
B4GALT6	"Beta-1,4-galactosyltransferase 6"	Evidence at protein level
BAALC	BAALC binder of MAP3K1 and KLF4	Evidence at protein level
BACE2	Beta-secretase 2	Evidence at protein level
BACH2	BTB domain and CNC homolog 2	Evidence at protein level
BAG2	BAG cochaperone 2	Evidence at protein level
BAHCC1	BAH domain and coiled-coil containing 1	Evidence at protein level
BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1	Evidence at protein level
BAIAP2L2	BAR/IMD domain containing adaptor protein 2 like 2	Evidence at protein level
BAIAP3	BAI1 associated protein 3	Evidence at protein level
BANK1	B cell scaffold protein with ankyrin repeats 1	Evidence at protein level
BARD1	BRCA1 associated RING domain 1	Evidence at protein level
BARX2	BARX homeobox 2	Evidence at protein level
BATF	Basic leucine zipper ATF-like transcription factor	Evidence at protein level
BATF2	Basic leucine zipper ATF-like transcription factor 2	Evidence at protein level
BATF3	Basic leucine zipper ATF-like transcription factor 3	Evidence at protein level
BBC3	BCL2 binding component 3	Evidence at protein level
BBOX1	Gamma-butyrobetaine hydroxylase 1	Evidence at protein level
BBS10	Bardet-Biedl syndrome 10	Evidence at protein level
BBS12	Bardet-Biedl syndrome 12	Evidence at protein level
BCAN	Brevican	Evidence at protein level
BCAR1	"BCAR1 scaffold protein, Cas family member"	Evidence at protein level
BCAS1	Brain enriched myelin associated protein 1	Evidence at protein level
BCAS4	Breast carcinoma amplified sequence 4	Evidence at protein level
BCAT1	Branched chain amino acid transaminase 1	Evidence at protein level
BCHE	Butyrylcholinesterase	Evidence at protein level
BCL11A	BAF chromatin remodeling complex subunit BCL11A	Evidence at protein level
BCL11B	BAF chromatin remodeling complex subunit BCL11B	Evidence at protein level
BCL2A1	BCL2 related protein A1	Evidence at protein level
BCL2L2-PABPN1	BCL2L2-PABPN1 readthrough	Evidence at protein level
BCL6B	BCL6B transcription repressor	Evidence at protein level
BCO2	Beta-carotene oxygenase 2	Evidence at protein level
BCORL1	BCL6 corepressor like 1	Evidence at protein level
BDH1	3-hydroxybutyrate dehydrogenase 1	Evidence at protein level
BDKRB1	Bradykinin receptor B1	Evidence at protein level
BDKRB2	Bradykinin receptor B2	Evidence at protein level
BDP1	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	Evidence at protein level
BEGAIN	Brain enriched guanylate kinase associated	Evidence at protein level
BEND3	BEN domain containing 3	Evidence at protein level
BEND5	BEN domain containing 5	Evidence at protein level
BEND6	BEN domain containing 6	Evidence at protein level
BEST1	Bestrophin 1	Evidence at protein level
BEST3	Bestrophin 3	Evidence at protein level
BEX1	Brain expressed X-linked 1	Evidence at protein level
BEX5	Brain expressed X-linked 5	Evidence at protein level
BFSP1	Beaded filament structural protein 1	Evidence at protein level
BGLAP	Bone gamma-carboxyglutamate protein	Evidence at protein level
BGN	Biglycan	Evidence at protein level
BHLHE22	Basic helix-loop-helix family member e22	Evidence at protein level
BHLHE41	Basic helix-loop-helix family member e41	Evidence at protein level
BHMT2	Betaine--homocysteine S-methyltransferase 2	Evidence at protein level
BICC1	BicC family RNA binding protein 1	Evidence at protein level
BICDL1	BICD family like cargo adaptor 1	Evidence at protein level
BICRA	BRD4 interacting chromatin remodeling complex associated protein	Evidence at protein level
BIN2	Bridging integrator 2	Evidence at protein level
BIRC3	Baculoviral IAP repeat containing 3	Evidence at protein level
BIVM-ERCC5	BIVM-ERCC5 readthrough	Evidence at transcript level
BLNK	B cell linker	Evidence at protein level
BMAL2	Basic helix-loop-helix ARNT like 2	Evidence at protein level
BMP1	Bone morphogenetic protein 1	Evidence at protein level
